pair_id,team_low_id,team_high_id,team_low_code,team_high_code,team_low_name,team_high_name,direct_matches,competitive_matches,friendly_matches,neutral_matches,last_match_date,last_match_score,coverage_status,verification_status,is_group_stage_pair,group_stage_match_no,model_fallback,source_notes
bra-esp,bra,esp,BRA,ESP,巴西,西班牙,10,6,4,4,2024-03-26T00:00:00Z,3-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-fra,bra,fra,BRA,FRA,巴西,法国,17,6,11,5,2026-03-26T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-ger,bra,ger,BRA,GER,巴西,德国,23,6,17,4,2018-03-27T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-gha,bra,gha,BRA,GHA,巴西,加纳,5,1,4,4,2022-09-23T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-hai,bra,hai,BRA,HAI,巴西,海地,3,1,2,1,2016-06-08T00:00:00Z,7-1,direct_history,verified_from_matches,1,29,direct_h2h,direct_history_from_matches
bra-irn,bra,irn,BRA,IRN,巴西,伊朗,1,0,1,1,2010-10-07T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-irq,bra,irq,BRA,IRQ,巴西,伊拉克,1,0,1,1,2012-10-11T00:00:00Z,6-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-jor,bra,jor,BRA,JOR,巴西,约旦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
bra-jpn,bra,jpn,BRA,JPN,巴西,日本,14,5,9,6,2025-10-14T00:00:00Z,3-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-kor,bra,kor,BRA,KOR,巴西,韩国,9,1,8,2,2025-10-10T00:00:00Z,0-5,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-ksa,bra,ksa,BRA,KSA,巴西,沙特阿拉伯,5,2,3,2,2018-10-12T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-mar,bra,mar,BRA,MAR,巴西,摩洛哥,3,1,2,1,2023-03-25T00:00:00Z,2-1,direct_history,verified_from_matches,1,7,direct_h2h,direct_history_from_matches
bra-mex,bra,mex,BRA,MEX,巴西,墨西哥,42,22,20,21,2024-06-08T00:00:00Z,2-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-ned,bra,ned,BRA,NED,巴西,荷兰,12,5,7,4,2014-07-12T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-nor,bra,nor,BRA,NOR,巴西,挪威,4,1,3,1,2006-08-16T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-nzl,bra,nzl,BRA,NZL,巴西,新西兰,3,2,1,3,2006-06-04T00:00:00Z,4-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-pan,bra,pan,BRA,PAN,巴西,巴拿马,4,1,3,2,2019-03-23T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-par,bra,par,BRA,PAR,巴西,巴拉圭,84,69,15,22,2025-06-10T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-por,bra,por,BRA,POR,巴西,葡萄牙,21,3,18,5,2013-09-10T00:00:00Z,3-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-qat,bra,qat,BRA,QAT,巴西,卡塔尔,1,0,1,0,2019-06-05T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-rsa,bra,rsa,BRA,RSA,巴西,南非,5,1,4,0,2014-03-05T00:00:00Z,0-5,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-sco,bra,sco,BRA,SCO,巴西,苏格兰,10,6,4,5,2011-03-27T00:00:00Z,2-0,direct_history,verified_from_matches,1,49,direct_h2h,direct_history_from_matches
bra-sen,bra,sen,BRA,SEN,巴西,塞内加尔,3,0,3,3,2025-11-15T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-sui,bra,sui,BRA,SUI,巴西,瑞士,10,3,7,2,2022-11-28T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-swe,bra,swe,BRA,SWE,巴西,瑞典,15,7,8,8,2012-08-15T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-tun,bra,tun,BRA,TUN,巴西,突尼斯,3,0,3,2,2025-11-18T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-tur,bra,tur,BRA,TUR,巴西,土耳其,6,3,3,4,2014-11-12T00:00:00Z,0-4,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-uru,bra,uru,BRA,URU,巴西,乌拉圭,79,66,13,18,2024-11-19T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-usa,bra,usa,BRA,USA,巴西,美国,20,10,10,5,2024-06-12T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
bra-uzb,bra,uzb,BRA,UZB,巴西,乌兹别克斯坦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-civ,can,civ,CAN,CIV,加拿大,科特迪瓦,1,1,0,0,2025-06-10T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-cod,can,cod,CAN,COD,加拿大,刚果（金）,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-col,can,col,CAN,COL,加拿大,哥伦比亚,3,1,2,2,2025-10-14T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-cpv,can,cpv,CAN,CPV,加拿大,佛得角,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-cro,can,cro,CAN,CRO,加拿大,克罗地亚,1,1,0,1,2022-11-27T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-cuw,can,cuw,CAN,CUW,加拿大,库拉索,4,3,1,1,2025-06-21T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-cze,can,cze,CAN,CZE,加拿大,捷克,2,0,2,0,2013-11-15T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-ecu,can,ecu,CAN,ECU,加拿大,厄瓜多尔,4,1,3,1,2025-11-13T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-egy,can,egy,CAN,EGY,加拿大,埃及,2,0,2,0,2001-04-24T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-eng,can,eng,CAN,ENG,加拿大,英格兰,1,0,1,0,1986-05-24T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-esp,can,esp,CAN,ESP,加拿大,西班牙,2,0,2,0,2005-09-03T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-fra,can,fra,CAN,FRA,加拿大,法国,2,1,1,1,2024-06-09T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-ger,can,ger,CAN,GER,加拿大,德国,2,0,2,0,2003-06-01T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-gha,can,gha,CAN,GHA,加拿大,加纳,1,1,0,1,1985-06-02T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-hai,can,hai,CAN,HAI,加拿大,海地,14,11,3,8,2021-07-15T00:00:00Z,1-4,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-irn,can,irn,CAN,IRN,加拿大,伊朗,3,0,3,1,2001-04-26T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-irq,can,irq,CAN,IRQ,加拿大,伊拉克,1,1,0,1,1985-06-09T00:00:00Z,1-6,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-jor,can,jor,CAN,JOR,加拿大,约旦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-jpn,can,jpn,CAN,JPN,加拿大,日本,4,1,3,2,2023-10-13T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-kor,can,kor,CAN,KOR,加拿大,韩国,5,2,3,2,2016-11-11T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-ksa,can,ksa,CAN,KSA,加拿大,沙特阿拉伯,1,0,1,1,1999-07-09T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-mar,can,mar,CAN,MAR,加拿大,摩洛哥,4,1,3,1,2022-12-01T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-mex,can,mex,CAN,MEX,加拿大,墨西哥,35,31,4,9,2025-03-20T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-ned,can,ned,CAN,NED,加拿大,荷兰,2,0,2,0,2024-06-06T00:00:00Z,4-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-nor,can,nor,CAN,NOR,加拿大,挪威,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-nzl,can,nzl,CAN,NZL,加拿大,新西兰,7,0,7,1,2018-03-24T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-pan,can,pan,CAN,PAN,加拿大,巴拿马,14,11,3,4,2024-10-15T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-par,can,par,CAN,PAR,加拿大,巴拉圭,1,0,1,0,1986-01-29T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-por,can,por,CAN,POR,加拿大,葡萄牙,2,0,2,0,2005-03-26T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-qat,can,qat,CAN,QAT,加拿大,卡塔尔,1,0,1,1,2022-09-23T00:00:00Z,2-0,direct_history,verified_from_matches,1,27,direct_h2h,direct_history_from_matches
can-rsa,can,rsa,CAN,RSA,加拿大,南非,1,0,1,0,2007-11-20T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-sco,can,sco,CAN,SCO,加拿大,苏格兰,7,0,7,0,2017-03-22T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-sen,can,sen,CAN,SEN,加拿大,塞内加尔,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-sui,can,sui,CAN,SUI,加拿大,瑞士,1,0,1,0,2002-05-15T00:00:00Z,1-3,direct_history,verified_from_matches,1,51,direct_h2h,direct_history_from_matches
can-swe,can,swe,CAN,SWE,加拿大,瑞典,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
can-tun,can,tun,CAN,TUN,加拿大,突尼斯,2,0,2,0,2026-03-31T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-tur,can,tur,CAN,TUR,加拿大,土耳其,2,0,2,0,1995-06-07T00:00:00Z,0-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-uru,can,uru,CAN,URU,加拿大,乌拉圭,3,2,1,3,2024-07-13T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-usa,can,usa,CAN,USA,加拿大,美国,42,27,15,2,2025-03-23T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
can-uzb,can,uzb,CAN,UZB,加拿大,乌兹别克斯坦,1,0,1,1,2016-06-07T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-cod,civ,cod,CIV,COD,科特迪瓦,刚果（金）,22,14,8,9,2024-02-07T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-col,civ,col,CIV,COL,科特迪瓦,哥伦比亚,1,1,0,1,2014-06-19T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-cpv,civ,cpv,CIV,CPV,科特迪瓦,佛得角,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-cro,civ,cro,CIV,CRO,科特迪瓦,克罗地亚,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-cuw,civ,cuw,CIV,CUW,科特迪瓦,库拉索,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,1,55,contextual_fallback,four_independent_sources_checked_no_record
civ-cze,civ,cze,CIV,CZE,科特迪瓦,捷克,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-ecu,civ,ecu,CIV,ECU,科特迪瓦,厄瓜多尔,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,1,9,contextual_fallback,four_independent_sources_checked_no_record
civ-egy,civ,egy,CIV,EGY,科特迪瓦,埃及,25,17,8,11,2026-01-10T00:00:00Z,3-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-eng,civ,eng,CIV,ENG,科特迪瓦,英格兰,1,0,1,0,2022-03-29T00:00:00Z,3-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-esp,civ,esp,CIV,ESP,科特迪瓦,西班牙,1,0,1,0,2006-03-01T00:00:00Z,3-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-fra,civ,fra,CIV,FRA,科特迪瓦,法国,3,0,3,0,2022-03-25T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-ger,civ,ger,CIV,GER,科特迪瓦,德国,1,0,1,0,2009-11-18T00:00:00Z,2-2,direct_history,verified_from_matches,1,33,direct_h2h,direct_history_from_matches
civ-gha,civ,gha,CIV,GHA,科特迪瓦,加纳,39,21,18,13,2021-06-12T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-hai,civ,hai,CIV,HAI,科特迪瓦,海地,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-irn,civ,irn,CIV,IRN,科特迪瓦,伊朗,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-irq,civ,irq,CIV,IRQ,科特迪瓦,伊拉克,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-jor,civ,jor,CIV,JOR,科特迪瓦,约旦,1,0,1,1,2006-01-17T00:00:00Z,2-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-jpn,civ,jpn,CIV,JPN,科特迪瓦,日本,5,2,3,3,2020-10-13T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-kor,civ,kor,CIV,KOR,科特迪瓦,韩国,2,0,2,2,2026-03-28T00:00:00Z,4-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-ksa,civ,ksa,CIV,KSA,科特迪瓦,沙特阿拉伯,1,0,1,0,2025-11-14T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-mar,civ,mar,CIV,MAR,科特迪瓦,摩洛哥,22,15,7,4,2023-10-14T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-mex,civ,mex,CIV,MEX,科特迪瓦,墨西哥,1,0,1,1,2013-08-14T00:00:00Z,4-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-ned,civ,ned,CIV,NED,科特迪瓦,荷兰,2,1,1,1,2017-06-04T00:00:00Z,5-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-nor,civ,nor,CIV,NOR,科特迪瓦,挪威,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-nzl,civ,nzl,CIV,NZL,科特迪瓦,新西兰,1,1,0,1,2025-06-07T00:00:00Z,0-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-pan,civ,pan,CIV,PAN,科特迪瓦,巴拿马,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
civ-par,civ,par,CIV,PAR,科特迪瓦,巴拉圭,2,1,1,2,2010-05-30T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-por,civ,por,CIV,POR,科特迪瓦,葡萄牙,1,1,0,1,2010-06-15T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-qat,civ,qat,CIV,QAT,科特迪瓦,卡塔尔,1,0,1,0,2007-11-21T00:00:00Z,1-6,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-rsa,civ,rsa,CIV,RSA,科特迪瓦,南非,8,5,3,2,2023-10-17T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-sco,civ,sco,CIV,SCO,科特迪瓦,苏格兰,1,0,1,1,2026-03-31T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-sen,civ,sen,CIV,SEN,科特迪瓦,塞内加尔,28,10,18,8,2024-01-29T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-sui,civ,sui,CIV,SUI,科特迪瓦,瑞士,2,0,2,0,2006-05-27T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-swe,civ,swe,CIV,SWE,科特迪瓦,瑞典,3,0,3,3,2017-01-08T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-tun,civ,tun,CIV,TUN,科特迪瓦,突尼斯,20,7,13,6,2019-09-10T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-tur,civ,tur,CIV,TUR,科特迪瓦,土耳其,1,0,1,0,2009-02-11T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-uru,civ,uru,CIV,URU,科特迪瓦,乌拉圭,1,0,1,1,2024-03-26T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-usa,civ,usa,CIV,USA,科特迪瓦,美国,1,1,0,1,1992-10-19T00:00:00Z,5-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
civ-uzb,civ,uzb,CIV,UZB,科特迪瓦,乌兹别克斯坦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-col,cod,col,COD,COL,刚果（金）,哥伦比亚,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,1,48,contextual_fallback,four_independent_sources_checked_no_record
cod-cpv,cod,cpv,COD,CPV,刚果（金）,佛得角,3,3,0,1,2015-01-22T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-cro,cod,cro,COD,CRO,刚果（金）,克罗地亚,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-cuw,cod,cuw,COD,CUW,刚果（金）,库拉索,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-cze,cod,cze,COD,CZE,刚果（金）,捷克,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-ecu,cod,ecu,COD,ECU,刚果（金）,厄瓜多尔,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-egy,cod,egy,COD,EGY,刚果（金）,埃及,14,9,5,4,2024-01-28T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-eng,cod,eng,COD,ENG,刚果（金）,英格兰,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-esp,cod,esp,COD,ESP,刚果（金）,西班牙,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-fra,cod,fra,COD,FRA,刚果（金）,法国,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-ger,cod,ger,COD,GER,刚果（金）,德国,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-gha,cod,gha,COD,GHA,刚果（金）,加纳,21,16,5,9,2017-01-29T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-hai,cod,hai,COD,HAI,刚果（金）,海地,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-irn,cod,irn,COD,IRN,刚果（金）,伊朗,1,1,0,1,1977-07-29T00:00:00Z,1-3,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-irq,cod,irq,COD,IRQ,刚果（金）,伊拉克,2,0,2,2,2015-03-31T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-jor,cod,jor,COD,JOR,刚果（金）,约旦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-jpn,cod,jpn,COD,JPN,刚果（金）,日本,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-kor,cod,kor,COD,KOR,刚果（金）,韩国,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-ksa,cod,ksa,COD,KSA,刚果（金）,沙特阿拉伯,1,0,1,1,2010-05-21T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-mar,cod,mar,COD,MAR,刚果（金）,摩洛哥,16,13,3,5,2024-01-21T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-mex,cod,mex,COD,MEX,刚果（金）,墨西哥,1,0,1,0,2006-05-12T00:00:00Z,2-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-ned,cod,ned,COD,NED,刚果（金）,荷兰,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-nor,cod,nor,COD,NOR,刚果（金）,挪威,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-nzl,cod,nzl,COD,NZL,刚果（金）,新西兰,1,0,1,1,2023-10-13T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-pan,cod,pan,COD,PAN,刚果（金）,巴拿马,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-par,cod,par,COD,PAR,刚果（金）,巴拉圭,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-por,cod,por,COD,POR,刚果（金）,葡萄牙,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,1,23,contextual_fallback,four_independent_sources_checked_no_record
cod-qat,cod,qat,COD,QAT,刚果（金）,卡塔尔,1,0,1,1,2009-10-14T00:00:00Z,2-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-rsa,cod,rsa,COD,RSA,刚果（金）,南非,8,7,1,4,2024-02-10T00:00:00Z,0-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-sco,cod,sco,COD,SCO,刚果（金）,苏格兰,1,1,0,1,1974-06-14T00:00:00Z,0-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-sen,cod,sen,COD,SEN,刚果（金）,塞内加尔,14,9,5,4,2025-12-27T00:00:00Z,1-1,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-sui,cod,sui,COD,SUI,刚果（金）,瑞士,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-swe,cod,swe,COD,SWE,刚果（金）,瑞典,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-tun,cod,tun,COD,TUN,刚果（金）,突尼斯,14,11,3,4,2021-06-05T00:00:00Z,1-0,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
cod-tur,cod,tur,COD,TUR,刚果（金）,土耳其,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-uru,cod,uru,COD,URU,刚果（金）,乌拉圭,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-usa,cod,usa,COD,USA,刚果（金）,美国,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
cod-uzb,cod,uzb,COD,UZB,刚果（金）,乌兹别克斯坦,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,1,72,contextual_fallback,four_independent_sources_checked_no_record
col-cpv,col,cpv,COL,CPV,哥伦比亚,佛得角,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
col-cro,col,cro,COL,CRO,哥伦比亚,克罗地亚,1,0,1,1,2026-03-26T00:00:00Z,1-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
col-cuw,col,cuw,COL,CUW,哥伦比亚,库拉索,1,1,0,0,1946-12-09T00:00:00Z,4-2,direct_history,verified_from_matches,0,,direct_h2h,direct_history_from_matches
col-cze,col,cze,COL,CZE,哥伦比亚,捷克,0,0,0,0,,,confirmed_no_meeting,confirmed_four_sources_no_match,0,,contextual_fallback,four_independent_sources_checked_no_record
